NRO_DOC_FISCAL,RUC,RAZON_SOCIAL,COD_CLIENTE,COD_CUENTA,FUENTE,SISTEMA,FECHA_EMISION,FECHA_VTO,MONEDA,CHARGE_NET_AMOUNT,CHARGE_IGV_INVOICE,CHARGE_TOTAL_AMOUNT,origen_fecha_vto_mal_formada,total_pagado,cantidad_pagos,requirio_correccion_formato,total_nota_credito,monto_neto_a_pagar,diferencia,esta_vencida,estado_conciliacion,diferencia_es_trivial_redondeo
S9AA-0082043342,2076412738,CLIENT_00914,99741685,789189737,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,47.4,8.53,55.93,False,55.93,1,False,0.0,55.93,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007647080,2046639773,CLIENT_00422,659895821,33750167,FACTURACION CICLICA,AMDOCS,2026-05-27,2026-06-13,PEN,50.13,9.02,59.15,False,59.15,1,False,0.0,59.15,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082045904,2050652193,CLIENT_00104,99098006,905422857,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,118.59,21.34,139.93,False,139.93,1,False,0.0,139.93,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007872312,2082639572,CLIENT_00284,697374231,834028557,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,26.4,4.75,31.15,False,31.15,1,False,0.0,31.15,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081887844,2042647818,CLIENT_00266,28064185,601803837,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,31.74,5.71,37.45,False,37.45,1,False,0.0,37.45,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007537799,2083393986,CLIENT_00825,128846421,419521347,FACTURACION CICLICA,AMDOCS,2026-05-27,2026-06-13,PEN,42.65,7.68,50.33,False,50.33,1,False,0.0,50.33,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081820600,2068848408,CLIENT_00004,472307131,692206457,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,65.13,11.73,76.86,False,76.86,1,False,0.0,76.86,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081711638,2042176157,CLIENT_00570,26577195,667581406,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,125.64,22.62,148.26,False,148.26,1,False,0.0,148.26,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081902572,2066464531,CLIENT_00087,48105906,87129506,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,103.52,18.63,122.15,False,122.15,1,False,0.0,122.15,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082229979,2061270007,CLIENT_00298,22329095,11101406,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,113.25,20.38,133.63,False,133.63,1,False,0.0,133.63,0.0,True,CONCILIADA_EXACTA,True
